epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,467.847,1.95126,3.87159,1.73563,0.28713,0.02018,0.00865,0.00349,2.70806,4.39685,2.37264,0.000275353,0.000275353,0.000275353
2,901.016,1.65687,3.02316,1.56837,0.2814,0.026,0.01367,0.0041,2.70401,4.20025,2.41515,0.00054207,0.00054207,0.00054207
3,1347.87,1.60286,2.78396,1.54283,0.28634,0.05741,0.01691,0.00509,2.81756,4.12423,2.41616,0.000797791,0.000797791,0.000797791
4,1793.18,1.52868,2.591,1.49483,0.15978,0.07764,0.01822,0.00561,2.80183,4.34477,2.40022,0.00078352,0.00078352,0.00078352
5,2248.51,1.5008,2.4812,1.48025,0.17866,0.08585,0.02709,0.00852,2.68925,3.94907,2.36751,0.000767026,0.000767026,0.000767026
6,2694.34,1.43374,2.3158,1.4431,0.19704,0.09573,0.03993,0.01158,2.64471,3.77539,2.37908,0.000750533,0.000750533,0.000750533
7,3150.63,1.41905,2.27673,1.43188,0.21116,0.10023,0.04214,0.01335,2.55347,3.56372,2.25097,0.00073404,0.00073404,0.00073404
8,3610.94,1.38056,2.18233,1.41111,0.10401,0.11094,0.05598,0.01657,2.6407,3.55823,2.32537,0.000717546,0.000717546,0.000717546
9,4059.6,1.37218,2.11819,1.39548,0.13584,0.13467,0.07693,0.02476,2.5426,3.46287,2.27314,0.000701053,0.000701053,0.000701053
10,4512.58,1.34623,2.06543,1.38743,0.25831,0.0992,0.05887,0.01874,2.56518,3.49402,2.24612,0.000684559,0.000684559,0.000684559
11,4970.32,1.31083,1.99044,1.36716,0.17803,0.1433,0.09833,0.0293,2.56619,3.43149,2.22733,0.000668066,0.000668066,0.000668066
12,5428.04,1.2801,1.93354,1.34889,0.15446,0.14872,0.09344,0.02586,2.58795,3.37365,2.29107,0.000651573,0.000651573,0.000651573
13,5885.4,1.28881,1.91467,1.3499,0.14164,0.13647,0.07128,0.02557,2.65742,3.53557,2.21398,0.000635079,0.000635079,0.000635079
14,6342.02,1.28101,1.84893,1.33818,0.1723,0.10768,0.07381,0.0214,2.72154,3.70937,2.20086,0.000618586,0.000618586,0.000618586
15,6794.55,1.23811,1.8034,1.31972,0.22857,0.14364,0.09757,0.02877,2.57734,3.3847,2.19664,0.000602092,0.000602092,0.000602092
16,7241.91,1.2399,1.76565,1.31722,0.23599,0.18692,0.13005,0.04119,2.50775,3.18547,2.15485,0.000585599,0.000585599,0.000585599
17,7687.58,1.2568,1.77374,1.32692,0.1823,0.16011,0.11161,0.03751,2.45918,3.21074,2.14441,0.000569106,0.000569106,0.000569106
18,8136.04,1.21877,1.66439,1.29642,0.19704,0.16542,0.10906,0.03748,2.53173,3.30038,2.07421,0.000552612,0.000552612,0.000552612
19,8579.46,1.21118,1.65516,1.28927,0.21084,0.20439,0.1356,0.04075,2.56005,3.32775,2.1294,0.000536119,0.000536119,0.000536119
20,9025.1,1.18584,1.62619,1.29329,0.19728,0.19581,0.12872,0.04082,2.48381,3.20242,2.15425,0.000519625,0.000519625,0.000519625
21,9474.15,1.19466,1.59739,1.28995,0.20137,0.14816,0.11624,0.03334,2.54924,3.29136,2.13741,0.000503132,0.000503132,0.000503132
22,9918.36,1.15679,1.54903,1.25983,0.16437,0.18948,0.1241,0.03844,2.49314,3.17014,2.08241,0.000486639,0.000486639,0.000486639
