epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,212.68,1.79579,3.8586,4.04661,1.65477,0,0.07862,0.66084,0.22948,0.12155,0.07779,0.65385,0.22593,0.09763,1.7226,3.36975,4.03551,1.56926,0,0.000191644,0.000191644,0.000191644
2,419.831,1.6734,3.05505,2.37703,1.54176,0,0.29054,0.37413,0.28762,0.13012,0.27144,0.35664,0.23944,0.09324,1.77082,3.31628,2.92142,1.57,0,0.00036206,0.00036206,0.00036206
3,657.507,1.51311,2.75427,1.95167,1.4047,0,0.65491,0.61189,0.59441,0.30746,0.6073,0.55594,0.54486,0.23881,1.63295,3.00037,2.27004,1.48662,0,0.000506603,0.000506603,0.000506603
4,895.536,1.42399,2.58765,1.76342,1.36761,0,0.63328,0.57692,0.61249,0.3288,0.63947,0.57056,0.60353,0.29007,1.63771,2.67773,2.12943,1.42314,0,0.000471576,0.000471576,0.000471576
5,1132.48,1.41687,2.60545,1.6716,1.30741,0,0.72925,0.68881,0.77222,0.4019,0.7032,0.62937,0.70515,0.34445,1.52708,2.77123,1.73892,1.41416,0,0.000432768,0.000432768,0.000432768
6,1362.3,1.3394,2.46137,1.72859,1.3166,0,0.70694,0.72378,0.78668,0.43494,0.72722,0.68531,0.76939,0.38682,1.50361,2.51191,1.63433,1.34919,0,0.00039396,0.00039396,0.00039396
7,1591.57,1.31371,2.33666,1.59334,1.28669,0,0.77877,0.76224,0.82123,0.4877,0.77519,0.75874,0.80854,0.41141,1.34667,2.40447,1.49362,1.24774,0,0.000355152,0.000355152,0.000355152
