epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,4895.21,1.47292,2.11539,2.02809,1.32633,0,0.29126,0.32511,0.20716,0.07397,0.25019,0.27926,0.14961,0.03783,2.04347,1.82094,2.82456,1.82069,0,0.00066481,0.00066481,0.00066481
2,10573.9,1.52627,1.89329,1.69771,1.35586,0,0.35889,0.30879,0.26689,0.11582,0.33489,0.29871,0.21833,0.06367,1.99729,1.90136,2.26792,1.7932,0,0.0012436,0.0012436,0.0012436
3,8247.7,1.47081,1.8689,1.57939,1.32609,0,0.42799,0.36714,0.30317,0.13531,0.38687,0.34144,0.25844,0.0793,1.85096,1.56714,2.1715,1.66687,0,0.00173439,0.00173439,0.00173439
