Damage Type,Confidence,Est. Length (cm),Severity,Action Priority,Bounding Box
Burst,0.0%,1.5% Area,🟢 Low,Monitor Status,"[0.7, 8.4, 33.6, 31.0]"
Burst,0.0%,1.0% Area,🟢 Low,Monitor Status,"[141.8, 64.2, 191.8, 74.5]"
Burst,0.0%,4.4% Area,🟠 Medium,Schedule Maintenance,"[93.3, 66.4, 196.4, 87.8]"
Burst,0.0%,12.0% Area,🔴 High,Immediate Repair,"[0.0, 7.3, 136.5, 51.7]"
Burst,0.0%,2.6% Area,🟠 Medium,Schedule Maintenance,"[213.5, 25.3, 255.3, 56.8]"
Burst,0.0%,4.0% Area,🟠 Medium,Schedule Maintenance,"[99.2, 134.8, 147.6, 176.8]"
Burst,0.0%,2.3% Area,🟠 Medium,Schedule Maintenance,"[1.0, 170.2, 50.9, 193.0]"
Burst,0.0%,0.4% Area,🟢 Low,Monitor Status,"[0.0, 52.3, 5.5, 92.2]"
Burst,0.0%,1.8% Area,🟢 Low,Monitor Status,"[22.0, 22.4, 55.7, 48.7]"
Burst,0.0%,0.2% Area,🟢 Low,Monitor Status,"[66.6, 0.0, 93.8, 4.2]"
Burst,0.0%,11.4% Area,🔴 High,Immediate Repair,"[171.4, 14.8, 252.4, 85.7]"
Burst,0.0%,1.2% Area,🟢 Low,Monitor Status,"[16.9, 9.6, 52.3, 26.2]"
Burst,0.0%,0.1% Area,🟢 Low,Monitor Status,"[168.8, 0.0, 201.9, 1.5]"
Burst,0.0%,0.5% Area,🟢 Low,Monitor Status,"[212.0, 2.7, 239.8, 11.3]"
Burst,0.0%,0.2% Area,🟢 Low,Monitor Status,"[93.5, 0.0, 116.6, 4.2]"
Burst,0.0%,1.3% Area,🟢 Low,Monitor Status,"[23.3, 35.5, 64.2, 51.1]"
Burst,0.0%,6.1% Area,🟠 Medium,Schedule Maintenance,"[5.8, 165.5, 120.7, 192.4]"
Burst,0.0%,0.1% Area,🟢 Low,Monitor Status,"[181.8, 0.0, 215.1, 1.6]"
Burst,0.0%,0.1% Area,🟢 Low,Monitor Status,"[205.4, 0.0, 237.1, 1.6]"
Burst,0.0%,8.2% Area,🔴 High,Immediate Repair,"[0.3, 0.0, 88.4, 46.8]"
Burst,0.0%,0.2% Area,🟢 Low,Monitor Status,"[217.7, 0.0, 239.7, 3.9]"
Burst,0.0%,1.0% Area,🟢 Low,Monitor Status,"[0.0, 32.4, 8.8, 92.4]"
Burst,0.0%,0.6% Area,🟢 Low,Monitor Status,"[121.3, 9.8, 148.8, 21.2]"
Burst,0.0%,5.6% Area,🟠 Medium,Schedule Maintenance,"[88.6, 167.1, 207.7, 191.0]"
Burst,0.0%,8.9% Area,🔴 High,Immediate Repair,"[1.9, 150.7, 107.5, 193.0]"
Burst,0.0%,1.4% Area,🟢 Low,Monitor Status,"[0.1, 30.5, 15.8, 74.4]"
Burst,0.0%,3.0% Area,🟠 Medium,Schedule Maintenance,"[219.2, 29.1, 259.7, 66.6]"
Burst,0.0%,0.1% Area,🟢 Low,Monitor Status,"[253.3, 0.0, 261.0, 3.5]"
Burst,0.0%,0.7% Area,🟢 Low,Monitor Status,"[115.1, 9.5, 142.5, 21.9]"
Burst,0.0%,1.2% Area,🟢 Low,Monitor Status,"[0.0, 37.2, 13.2, 83.8]"
Burst,0.0%,3.3% Area,🟠 Medium,Schedule Maintenance,"[32.3, 79.3, 74.9, 118.2]"
Burst,0.0%,2.6% Area,🟠 Medium,Schedule Maintenance,"[1.5, 71.1, 38.9, 106.8]"
Burst,0.0%,24.8% Area,🔴 High,Immediate Repair,"[60.0, 56.2, 198.0, 146.9]"
Burst,0.0%,0.2% Area,🟢 Low,Monitor Status,"[47.6, 189.9, 82.4, 193.0]"
Burst,0.0%,6.9% Area,🟠 Medium,Schedule Maintenance,"[0.0, 75.7, 36.3, 171.0]"
Burst,0.0%,5.4% Area,🟠 Medium,Schedule Maintenance,"[93.1, 72.7, 172.3, 107.3]"
Burst,0.0%,12.1% Area,🔴 High,Immediate Repair,"[9.5, 32.7, 149.5, 76.3]"
Burst,0.0%,8.7% Area,🔴 High,Immediate Repair,"[166.9, 0.0, 261.0, 46.7]"
Burst,0.0%,0.5% Area,🟢 Low,Monitor Status,"[204.9, 2.6, 233.7, 11.4]"
Burst,0.0%,0.1% Area,🟢 Low,Monitor Status,"[254.1, 0.0, 261.0, 7.0]"
Burst,0.0%,8.6% Area,🔴 High,Immediate Repair,"[65.1, 59.3, 195.5, 92.7]"
Burst,0.0%,0.6% Area,🟢 Low,Monitor Status,"[131.6, 2.4, 162.4, 11.5]"
Burst,0.0%,0.1% Area,🟢 Low,Monitor Status,"[175.6, 0.0, 208.4, 1.6]"
Burst,0.0%,2.7% Area,🟠 Medium,Schedule Maintenance,"[92.4, 89.4, 131.7, 124.0]"
Burst,0.0%,1.6% Area,🟢 Low,Monitor Status,"[110.7, 176.4, 158.2, 193.0]"
Burst,0.0%,3.6% Area,🟠 Medium,Schedule Maintenance,"[116.6, 77.0, 167.1, 113.0]"
Burst,0.0%,3.5% Area,🟠 Medium,Schedule Maintenance,"[10.6, 83.6, 59.9, 119.4]"
Burst,0.0%,1.8% Area,🟢 Low,Monitor Status,"[15.1, 14.5, 56.3, 36.9]"
Burst,0.0%,0.7% Area,🟢 Low,Monitor Status,"[150.0, 2.5, 186.2, 11.7]"
Burst,0.0%,1.4% Area,🟢 Low,Monitor Status,"[0.0, 85.7, 9.7, 159.8]"
Burst,0.0%,0.2% Area,🟢 Low,Monitor Status,"[177.7, 0.0, 201.8, 4.0]"
Burst,0.0%,2.5% Area,🟠 Medium,Schedule Maintenance,"[145.4, 62.2, 209.7, 82.1]"
Burst,0.0%,14.0% Area,🔴 High,Immediate Repair,"[86.4, 117.5, 206.6, 176.3]"
Burst,0.0%,0.4% Area,🟢 Low,Monitor Status,"[192.8, 0.0, 228.0, 5.0]"
Burst,0.0%,0.4% Area,🟢 Low,Monitor Status,"[186.3, 0.0, 221.5, 5.0]"
Burst,0.0%,2.3% Area,🟠 Medium,Schedule Maintenance,"[100.6, 90.2, 137.3, 121.8]"
Burst,0.0%,17.1% Area,🔴 High,Immediate Repair,"[0.3, 36.4, 105.3, 118.4]"
Burst,0.0%,0.7% Area,🟢 Low,Monitor Status,"[109.0, 9.3, 135.8, 22.1]"
Burst,0.0%,0.2% Area,🟢 Low,Monitor Status,"[210.6, 0.0, 234.0, 3.9]"
Burst,0.0%,0.1% Area,🟢 Low,Monitor Status,"[211.8, 0.0, 243.4, 1.6]"
Burst,0.0%,2.2% Area,🟠 Medium,Schedule Maintenance,"[249.4, 6.1, 261.0, 102.8]"
Burst,0.0%,0.5% Area,🟢 Low,Monitor Status,"[197.9, 2.6, 227.8, 11.4]"
Burst,0.0%,20.9% Area,🔴 High,Immediate Repair,"[0.0, 7.8, 166.4, 71.0]"
Burst,0.0%,6.5% Area,🟠 Medium,Schedule Maintenance,"[1.9, 100.3, 54.0, 163.3]"
Burst,0.0%,7.2% Area,🟠 Medium,Schedule Maintenance,"[0.3, 35.2, 115.5, 66.8]"
