epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.8477,2.31289,3.92592,2.35133,0.00342,0.8171,0.03446,0.01011,2.72802,4.66205,2.81944,0.00024293,0.00024293,0.00024293
2,135.696,2.2321,3.6975,2.26943,0.00434,0.75453,0.04907,0.01697,2.7779,4.66896,2.92098,0.000490247,0.000490247,0.000490247
3,196.169,2.2542,3.57413,2.27331,0.67858,0.05556,0.02917,0.00626,2.8629,4.86249,3.28185,0.000727378,0.000727378,0.000727378
4,265.261,2.26891,3.48677,2.27562,0.00262,0.54463,0.00507,0.00118,3.20237,4.88966,3.44085,0.000954323,0.000954323,0.000954323
5,335.478,2.29126,3.50573,2.3031,0.68255,0.02247,0.0083,0.00199,3.15965,4.56349,3.36607,0.00117108,0.00117108,0.00117108
6,405.098,2.30505,3.46381,2.31359,0.03848,0.1534,0.01966,0.0039,2.72836,5.86857,3.37752,0.00128753,0.00128753,0.00128753
7,470.271,2.19593,3.4366,2.24374,0.3514,0.06632,0.01172,0.00415,2.59142,8.93665,2.90072,0.00125923,0.00125923,0.00125923
8,542.167,2.25446,3.47251,2.28813,0.34303,0.17322,0.00729,0.00243,2.88786,8.51477,3.27322,0.00123094,0.00123094,0.00123094
9,614.566,2.22751,3.34177,2.27082,0.3453,0.06632,0.01013,0.00252,2.93264,7.84747,3.34612,0.00120265,0.00120265,0.00120265
10,686.204,2.1373,3.29571,2.24204,0.02188,0.18266,0.01225,0.00337,2.89435,7.24355,3.296,0.00117435,0.00117435,0.00117435
11,759.909,2.20262,3.34771,2.2662,0.35429,0.02247,0.00588,0.00147,3.03833,7.32108,3.54979,0.00114606,0.00114606,0.00114606
12,831.072,2.22055,3.37669,2.27006,0.3445,0.03262,0.00799,0.0025,2.59395,5.2164,2.93722,0.00111776,0.00111776,0.00111776
13,900.841,2.15409,3.23761,2.20427,0.01532,0.08287,0.01092,0.00333,2.69701,4.65071,3.17294,0.00108947,0.00108947,0.00108947
14,970.653,2.09107,3.24257,2.2037,0.04435,0.26717,0.03644,0.01081,2.57871,4.64294,2.89394,0.00106118,0.00106118,0.00106118
15,1038.09,2.07027,3.20216,2.16259,0.39378,0.08661,0.04126,0.01294,2.74996,3.58852,3.02616,0.00103288,0.00103288,0.00103288
16,1109.75,2.05145,3.14706,2.18121,0.03411,0.07272,0.02198,0.00681,2.62744,3.8294,2.87284,0.00100459,0.00100459,0.00100459
17,1181.08,2.05432,3.10498,2.18257,0.38518,0.07647,0.02383,0.00681,2.69825,3.91845,2.89302,0.000976293,0.000976293,0.000976293
18,1251.41,2.02314,3.07231,2.13185,0.01785,0.11236,0.03604,0.01146,2.44167,3.84013,2.66753,0.000947999,0.000947999,0.000947999
19,1321.08,2.02887,3.04497,2.16379,0.40983,0.15715,0.05717,0.01862,2.41642,3.77868,2.74601,0.000919704,0.000919704,0.000919704
20,1390.74,2.00485,2.98225,2.10541,0.16723,0.28324,0.05844,0.01795,2.47423,3.83751,2.67082,0.00089141,0.00089141,0.00089141
21,1460.32,1.97991,2.93634,2.07899,0.37697,0.08068,0.04501,0.01447,2.41635,3.3853,2.63864,0.000863116,0.000863116,0.000863116
22,1529.36,2.01338,2.95698,2.10263,0.50181,0.06039,0.06982,0.02071,2.50757,3.35596,2.77554,0.000834822,0.000834822,0.000834822
23,1596.59,2.0007,2.90023,2.04458,0.0704,0.08661,0.05763,0.01961,2.53677,3.36312,2.71021,0.000806528,0.000806528,0.000806528
24,1663.83,1.99787,2.87721,2.02983,0.0966,0.14747,0.07715,0.02069,2.46811,3.4307,2.66519,0.000778233,0.000778233,0.000778233
25,1731.41,1.92474,2.87734,2.01278,0.08488,0.1122,0.07675,0.02699,2.49374,3.33924,2.69581,0.000749939,0.000749939,0.000749939
26,1799.01,1.92335,2.81306,2.03243,0.06954,0.05774,0.06045,0.01874,2.39028,3.25116,2.63715,0.000721645,0.000721645,0.000721645
27,1867.07,1.87551,2.81066,1.96584,0.07544,0.11283,0.0674,0.02466,2.35067,3.17022,2.57843,0.000693351,0.000693351,0.000693351
28,1935.1,1.88407,2.81608,1.98669,0.4112,0.14966,0.11618,0.03945,2.33877,3.28743,2.59108,0.000665057,0.000665057,0.000665057
29,2003.49,1.83361,2.74876,1.97085,0.38124,0.17541,0.08089,0.02568,2.46838,3.37246,2.75066,0.000636762,0.000636762,0.000636762
30,2071.51,1.86746,2.71886,1.98777,0.21445,0.29885,0.15271,0.06709,2.30198,3.22635,2.54514,0.000608468,0.000608468,0.000608468
31,2139.32,1.88069,2.71563,1.97769,0.16365,0.22238,0.13939,0.04841,2.43983,3.10898,2.68201,0.000580174,0.000580174,0.000580174
32,2207.62,1.81271,2.65147,1.94892,0.14049,0.17743,0.10886,0.02871,2.46159,3.31081,2.69457,0.00055188,0.00055188,0.00055188
33,2276.51,1.82285,2.67181,1.93551,0.15131,0.22518,0.11279,0.03189,2.33493,3.11071,2.57561,0.000523586,0.000523586,0.000523586
34,2345.71,1.79347,2.60532,1.92802,0.17649,0.27432,0.1316,0.03783,2.40121,3.02476,2.61024,0.000495291,0.000495291,0.000495291
35,2414.36,1.83665,2.59683,1.92206,0.2353,0.2138,0.15703,0.04899,2.35752,3.01098,2.58972,0.000466997,0.000466997,0.000466997
36,2481.99,1.7988,2.55752,1.88847,0.26497,0.24039,0.21614,0.08149,2.32379,3.08892,2.58702,0.000438703,0.000438703,0.000438703
37,2550.25,1.76849,2.50843,1.86485,0.31446,0.24204,0.21522,0.07286,2.44637,3.02635,2.67851,0.000410409,0.000410409,0.000410409
38,2618.1,1.75842,2.45483,1.84627,0.3699,0.20256,0.22443,0.0833,2.28947,2.92824,2.51529,0.000382115,0.000382115,0.000382115
